name,pc_1,pc_2,pc_3,pc_4,f_1,f_2,f_3,f_4,rating_rank,rating_mean,rating_sd,rating_se,bowling_harm_sim,bowling_min_freq_int
,0,3,5,8,203.87,244.64,271.82,326.19,19,2.900,0.607,0.111,0.167,27.18
,0,3,5,9,201.25,241.5,268.34,335.42,18,2.933,0.828,0.151,0.164,26.84
,0,3,5,10,196.22,235.47,261.63,353.2,29,2.533,0.730,0.133,0.159,26.16
,0,3,5,11,193.5,232.2,258,362.82,50,1.833,0.648,0.118,0.022,25.80
power chord + m3,0,3,5,12,189.13,226.96,252.17,378.26,28,2.567,0.679,0.124,0.144,25.21
minor triad (r) + tt,0,3,6,7,205.2,246.24,287.28,307.8,44,2.033,0.765,0.140,0.248,20.52
,0,3,6,8,201.25,241.5,281.76,322.01,16,3.000,0.830,0.152,0.486,40.25
dimished 7th chord,0,3,6,9,198.71,238.45,278.19,331.18,53,1.733,0.640,0.117,0.170,39.74
half diminished 7th chord,0,3,6,10,193.8,232.56,271.32,348.84,27,2.600,0.932,0.170,0.467,38.76
diminished (r) + M7,0,3,6,11,191.15,229.37,267.6,358.4,49,1.867,0.629,0.115,0.065,38.22
diminished triad + oct,0,3,6,12,186.88,224.25,261.63,373.76,20,2.867,0.937,0.171,0.429,37.37
minor triad (r) + m6,0,3,7,8,197.46,236.95,296.18,315.93,22,2.800,0.887,0.162,0.233,19.75
minor triad (r) + M6,0,3,7,9,195,234,292.51,325.01,31,2.467,0.860,0.157,0.080,32.50
minor 7th chord,0,3,7,10,190.28,228.33,285.41,342.5,14,3.067,0.868,0.159,0.222,38.05
minor (r) + M7,0,3,7,11,187.72,225.26,281.57,351.97,47,1.933,0.740,0.135,0.060,37.54
minor triad (r) + oct ,0,3,7,12,183.6,220.32,275.4,367.2,6,3.467,0.681,0.124,0.200,36.72
,0,3,8,9,191.44,229.72,306.3,319.06,54,1.700,0.750,0.137,0.160,12.76
,0,3,8,10,186.88,224.25,299.01,336.38,11,3.200,0.761,0.139,0.444,37.37
,0,3,8,11,184.41,221.29,295.05,345.77,34,2.367,0.765,0.140,0.062,36.88
,0,3,8,12,180.43,216.52,288.7,360.87,3,3.767,0.504,0.092,0.400,36.09
,0,3,9,10,184.68,221.62,307.8,332.42,53,1.733,0.691,0.126,0.153,24.62
,0,3,9,11,182.27,218.72,303.78,341.75,44,2.033,0.669,0.122,0.021,36.45
,0,3,9,12,178.38,214.06,297.31,356.77,32,2.433,0.817,0.149,0.138,35.68
,0,3,10,11,178.13,213.76,320.64,334,60,1.500,0.572,0.104,0.059,13.36
,0,3,10,12,174.42,209.3,313.96,348.84,13,3.100,0.607,0.111,0.378,34.88
,0,3,11,12,172.27,206.72,323,344.53,52,1.767,0.626,0.114,0.053,21.53
,0,4,5,6,210,262.51,280.01,294.01,56,1.633,0.718,0.131,0.045,14.00
major triad (r) + P4,0,4,5,7,205.87,257.34,274.5,308.81,22,2.800,0.805,0.147,0.197,17.16
,0,4,5,8,201.9,252.38,269.2,323.04,49,1.867,0.629,0.115,0.043,16.82
,0,4,5,9,199.34,249.17,265.78,332.23,16,3.000,0.695,0.127,0.200,16.61
,0,4,5,10,194.4,243,259.2,349.92,45,2.000,0.947,0.173,0.042,16.20
,0,4,5,11,191.73,239.66,255.64,359.49,42,2.100,0.923,0.168,0.099,15.98
power chord + M3,0,4,5,12,187.44,234.3,249.92,374.87,30,2.500,0.777,0.142,0.175,15.62
major triad (r) + tt,0,4,6,7,203.21,254.01,284.49,304.81,38,2.233,0.679,0.124,0.122,20.32
,0,4,6,8,199.34,249.17,279.07,318.94,38,2.233,0.679,0.124,0.130,29.90
,0,4,6,9,196.84,246.05,275.57,328.06,28,2.567,0.679,0.124,0.043,29.52
dominant 7th flat 5,0,4,6,10,192.02,240.03,268.83,345.64,50,1.833,0.531,0.097,0.128,28.80
,0,4,6,11,189.42,236.77,265.18,355.15,32,2.433,0.817,0.149,0.061,28.41
augmented triad + oct,0,4,6,12,185.22,231.53,259.31,370.45,24,2.733,0.583,0.106,0.109,27.78
major triad (r) + m6,0,4,7,8,195.61,244.51,293.42,312.98,48,1.900,0.481,0.088,0.118,19.56
major triad (r) + M6,0,4,7,9,193.2,241.5,289.81,322.01,17,2.967,0.765,0.140,0.189,32.20
dominant 7th chord,0,4,7,10,188.56,235.7,282.84,339.41,29,2.533,0.860,0.157,0.116,47.14
