chord,periodicity.stolz_smooth_t2_log,omega.stolz_smooth_t2,gradus.euler_smooth_t2,similarity.gill_purves_smooth_t2
"{0,1,3,10}",5.280,7.750,15.500,0.350463
"{0,1,4,9}",5.326,7.750,15.750,0.354167
"{0,6,8,11}",5.340,9.250,20.000,0.308862
"{0,5,6,8}",5.359,8.000,18.000,0.299140
"{0,1,6,9}",5.424,8.000,18.250,0.339881
"{0,3,4,9}",5.430,7.750,18.000,0.356548
"{0,2,5,8}",5.449,7.500,17.500,0.333862
"{0,1,8,9}",5.487,8.500,16.500,0.330556
"{0,3,4,11}",5.491,8.250,16.250,0.334722
"{0,1,7,9}",5.511,9.000,19.750,0.349140
"{0,3,4,10}",5.511,9.000,19.750,0.354696
"{0,6,8,9}",5.528,8.750,19.500,0.293585
"{0,3,9,11}",5.534,8.500,19.250,0.303307
"{0,3,7,11}",5.572,7.750,15.750,0.380556
"{0,2,5,6}",5.594,9.250,20.000,0.315807
"{0,4,10,11}",5.600,9.250,19.250,0.329696
"{0,6,9,11}",5.617,8.000,18.500,0.336640
"{0,2,3,5}",5.619,8.250,16.000,0.289352
"{0,1,4,5}",5.657,8.500,16.500,0.313889
"{0,6,7,8}",5.670,9.750,19.750,0.292196
"{0,8,9,11}",5.680,9.500,18.750,0.271759
"{0,8,9,10}",5.699,10.000,19.500,0.254630
"{0,2,3,6}",5.778,8.750,19.500,0.288029
"{0,6,7,10}",5.778,8.750,19.500,0.354696
"{0,4,8,9}",5.826,8.000,16.000,0.365278
"{0,1,9,10}",5.846,9.750,19.000,0.295370
"{0,3,5,6}",5.859,8.500,19.000,0.304696
"{0,3,5,11}",5.864,9.000,19.750,0.308862
"{0,2,3,9}",5.869,8.250,18.750,0.354696
"{0,2,8,9}",5.869,9.000,19.750,0.349140
"{0,4,5,8}",5.907,8.250,16.250,0.343056
"{0,2,3,11}",5.930,9.750,19.000,0.271759
"{0,1,4,10}",5.949,8.750,19.500,0.321362
"{0,1,4,8}",5.987,8.000,16.000,0.370833
"{0,1,5,11}",6.011,9.500,19.500,0.301918
"{0,3,10,11}",6.011,9.750,18.250,0.316204
"{0,7,8,9}",6.011,9.750,18.250,0.317593
"{0,8,10,11}",6.011,10.250,18.750,0.242130
"{0,1,4,6}",6.028,9.000,19.750,0.315807
"{0,1,7,10}",6.030,8.250,18.750,0.365807
"{0,2,10,11}",6.038,10.000,19.500,0.264352
"{0,1,3,4}",6.091,9.750,19.000,0.256481
"{0,1,2,6}",6.174,9.750,19.750,0.281085
"{0,1,4,11}",6.180,9.500,18.000,0.332870
"{0,7,10,11}",6.180,9.500,18.750,0.332870
"{0,1,9,11}",6.180,10.000,18.500,0.264352
"{0,1,3,11}",6.195,10.000,19.500,0.242130
"{0,6,10,11}",6.198,9.750,20.500,0.301918
"{0,5,6,11}",6.198,10.000,22.500,0.322817
"{0,1,6,7}",6.359,10.000,22.500,0.340873
"{0,1,7,11}",6.364,9.500,20.250,0.329696
"{0,1,2,4}",6.369,10.000,19.500,0.237963
"{0,2,3,4}",6.430,10.250,18.750,0.237963
"{0,4,5,6}",6.448,10.000,20.750,0.281085
"{0,3,4,5}",6.511,10.000,19.250,0.284259
"{0,5,6,7}",6.528,10.250,20.750,0.325529
"{0,1,8,11}",6.591,9.750,19.000,0.316204
"{0,1,2,5}",6.596,10.000,18.500,0.284259
"{0,1,2,10}",6.596,10.500,19.000,0.254630
"{0,5,10,11}",6.619,10.500,21.000,0.318585
"{0,1,2,9}",6.765,10.000,19.250,0.317593
"{0,1,6,11}",6.778,10.500,21.000,0.318585
"{0,1,2,8}",6.780,10.000,20.750,0.292196
"{0,9,10,11}",6.788,11.000,20.250,0.235185
"{0,1,2,7}",6.949,10.500,21.000,0.325529
"{0,1,10,11}",7.199,11.250,20.500,0.246296
"{0,1,2,11}",7.369,11.250,20.500,0.235185
"{0,1,2,3}",7.530,11.500,20.750,0.192130
"{0,2,4,7,11}",3.751,6.800,13.600,0.406111
"{0,2,5,9,10}",3.917,7.600,14.400,0.380278
"{0,3,7,8,10}",4.073,7.600,14.400,0.383611
"{0,4,5,7,9}",4.132,7.400,14.200,0.383611
"{0,4,7,9,11}",4.351,6.800,13.200,0.406111
"{0,1,3,5,8}",4.454,7.600,14.400,0.360278
"{0,3,5,7,8}",4.673,7.800,14.200,0.360278
"{0,2,7,9,11}",4.702,7.800,15.400,0.401667
"{0,4,5,9,11}",4.732,8.200,16.800,0.377817
"{0,2,5,7,9}",4.800,7.600,14.600,0.420000
"{0,4,6,8,10}",4.853,9.400,21.800,0.308413
"{0,1,5,8,10}",4.858,7.400,13.800,0.380278
"{0,4,7,8,11}",4.858,8.200,16.200,0.380833
"{0,5,7,9,10}",4.865,8.400,16.000,0.372500
"{0,4,5,7,11}",4.880,8.000,17.200,0.381151
"{0,5,7,9,11}",4.880,8.400,18.000,0.359762
"{0,2,6,8,10}",4.887,9.600,22.000,0.298413
"{0,2,6,9,10}",4.909,9.000,20.000,0.351706
"{0,2,4,8,10}",4.926,9.600,22.000,0.298413
"{0,2,4,5,9}",4.936,7.800,14.200,0.383611
"{0,3,5,8,10}",4.941,8.000,15.000,0.386667
"{0,4,6,7,11}",4.943,8.200,16.800,0.381151
"{0,2,4,8,11}",4.944,8.800,19.800,0.350873
"{0,2,4,6,10}",4.958,9.400,21.800,0.308413
"{0,3,5,7,10}",4.959,7.800,14.800,0.413333
"{0,5,6,9,10}",4.974,9.200,20.200,0.345317
"{0,2,4,6,8}",4.989,9.400,21.800,0.301746
"{0,3,5,9,10}",4.993,8.600,19.200,0.381706
"{0,2,5,9,11}",5.000,8.200,18.200,0.377540
"{0,1,3,8,10}",5.005,8.200,15.800,0.379167
"{0,2,7,8,11}",5.009,9.200,20.200,0.351151
"{0,3,6,8,10}",5.016,8.000,18.200,0.358095
"{0,2,4,7,9}",5.019,7.600,14.600,0.420000
"{0,2,5,7,11}",5.031,8.400,19.000,0.380873
"{0,3,6,9,10}",5.038,8.600,22.000,0.357579
"{0,1,5,7,8}",5.054,8.400,17.000,0.365317
"{0,1,3,5,9}",5.054,9.000,20.000,0.328373
"{0,4,5,9,10}",5.065,8.600,17.800,0.361984
"{0,3,5,7,9}",5.073,7.800,18.000,0.374762
"{0,4,7,8,10}",5.073,9.200,20.200,0.338373
"{0,2,6,7,11}",5.094,8.200,17.400,0.377817
"{0,2,3,7,10}",5.095,7.800,14.200,0.383611
"{0,3,7,9,10}",5.159,8.400,18.400,0.381706
"{0,1,5,8,9}",5.171,8.600,16.600,0.361667
"{0,2,5,7,10}",5.182,8.200,15.200,0.386667
"{0,1,6,8,10}",5.185,8.800,18.400,0.350595
"{0,3,4,7,8}",5.186,8.600,16.600,0.358333
"{0,3,4,6,8}",5.200,9.200,20.200,0.315040
"{0,1,3,7,8}",5.202,8.400,17.600,0.365317
"{0,4,5,7,10}",5.212,8.800,19.400,0.368373
"{0,2,4,9,11}",5.219,7.600,15.200,0.401667
"{0,1,5,6,10}",5.238,8.800,17.400,0.361984
"{0,2,6,7,9}",5.245,8.600,19.200,0.391706
"{0,3,5,8,9}",5.254,9.200,20.200,0.349484
"{0,3,4,6,11}",5.272,9.200,20.200,0.337817
"{0,4,6,8,11}",5.272,9.400,19.800,0.354206
"{0,2,3,7,8}",5.273,9.000,17.600,0.348651
"{0,2,4,5,7}",5.283,8.600,16.200,0.352500
"{0,3,6,7,9}",5.287,8.600,22.000,0.350913
"{0,2,4,6,11}",5.294,8.000,17.600,0.359762
"{0,2,4,6,7}",5.294,8.800,18.400,0.340595
"{0,1,3,6,10}",5.302,8.600,18.600,0.365040
"{0,2,5,6,9}",5.309,9.000,20.000,0.376151
"{0,1,3,8,9}",5.319,9.400,20.400,0.335317
"{0,3,4,8,11}",5.322,8.600,16.600,0.354167
"{0,5,8,9,11}",5.326,9.600,20.600,0.317817
"{0,2,4,6,9}",5.328,7.800,18.000,0.374762
"{0,1,3,6,8}",5.333,8.800,19.400,0.351706
"{0,3,4,8,10}",5.337,9.400,19.800,0.355040
"{0,2,7,9,10}",5.382,8.200,15.800,0.379167
"{0,1,5,6,8}",5.385,8.600,17.800,0.348651
"{0,5,6,8,10}",5.385,8.600,18.200,0.320595
"{0,1,4,5,7}",5.390,9.200,20.200,0.341984
"{0,1,5,7,9}",5.390,9.400,19.800,0.361706
"{0,4,6,9,10}",5.392,9.400,22.200,0.336468
"{0,3,6,8,11}",5.400,9.400,20.400,0.331984
"{0,1,3,5,7}",5.402,8.200,17.800,0.340595
"{0,2,4,7,8}",5.409,9.600,20.000,0.348373
"{0,4,6,7,9}",5.411,8.400,18.400,0.358373
"{0,2,6,8,11}",5.423,9.400,22.200,0.325635
"{0,2,3,8,10}",5.424,9.200,18.800,0.327262
"{0,1,6,9,10}",5.438,9.800,20.800,0.331984
"{0,1,4,5,9}",5.443,8.800,16.800,0.355000
