chord,periodicity.stolz_smooth_t2_log,omega.stolz_smooth_t2,gradus.euler_smooth_t2,similarity.gill_purves_smooth_t2
"{0,1,2,4,7,8}",6.769,11.333,24.167,0.336534
"{0,4,5,6,7,11}",6.783,11.333,23.333,0.339868
"{0,1,6,7,8,10}",6.790,11.333,23.833,0.338016
"{0,3,5,6,7,11}",6.793,11.333,23.667,0.329312
"{0,1,5,6,9,11}",6.796,11.333,23.667,0.331534
"{0,1,2,4,5,6}",6.796,11.500,22.500,0.289841
"{0,1,4,6,10,11}",6.796,11.667,24.500,0.341905
"{0,2,6,7,8,9}",6.796,11.833,24.667,0.333571
"{0,6,8,9,10,11}",6.796,12.167,23.833,0.277434
"{0,1,5,6,8,11}",6.806,11.167,23.667,0.340423
"{0,1,6,7,8,9}",6.806,11.667,24.167,0.320423
"{0,1,4,5,10,11}",6.812,11.500,24.000,0.335423
"{0,1,4,6,8,11}",6.821,10.833,21.833,0.363730
"{0,1,3,5,10,11}",6.822,11.000,21.667,0.329101
"{0,3,4,5,8,10}",6.822,11.000,22.000,0.348730
"{0,2,5,6,7,10}",6.824,11.000,22.000,0.348730
"{0,1,5,6,7,10}",6.834,11.167,23.167,0.352090
"{0,1,4,6,7,11}",6.837,11.000,23.000,0.358201
"{0,1,3,4,10,11}",6.838,11.333,22.333,0.322619
"{0,1,2,6,9,11}",6.840,10.500,21.000,0.340952
"{0,2,3,4,9,11}",6.843,10.833,21.833,0.347619
"{0,2,5,6,7,8}",6.849,11.667,24.500,0.313571
"{0,1,2,5,9,11}",6.856,11.000,22.000,0.334286
"{0,2,3,4,9,10}",6.856,11.000,23.000,0.338016
"{0,1,2,4,10,11}",6.856,12.000,23.667,0.301878
"{0,1,5,6,7,8}",6.859,11.500,23.500,0.329312
"{0,1,2,5,8,11}",6.866,11.167,24.167,0.327090
"{0,1,4,6,7,8}",6.875,11.333,23.667,0.336534
"{0,3,4,5,6,8}",6.875,11.333,22.833,0.297063
"{0,1,3,5,6,11}",6.875,11.500,24.000,0.310794
"{0,1,2,4,8,11}",6.882,11.000,22.500,0.336508
"{0,1,2,5,7,11}",6.882,11.500,24.333,0.337460
"{0,1,7,9,10,11}",6.882,12.000,23.667,0.301878
"{0,1,7,8,10,11}",6.891,11.333,22.833,0.322619
"{0,1,2,6,7,9}",6.893,11.167,23.667,0.352090
"{0,1,2,5,7,10}",6.894,10.500,21.000,0.353175
"{0,1,6,8,10,11}",6.903,11.333,22.500,0.329101
"{0,1,2,4,6,11}",6.909,10.833,21.500,0.331323
"{0,1,2,5,7,9}",6.910,10.833,21.833,0.364286
"{0,1,6,8,9,11}",6.919,11.167,22.167,0.325397
"{0,2,3,5,6,7}",6.919,11.167,22.167,0.321508
"{0,1,6,7,10,11}",6.919,11.833,24.833,0.335423
"{0,1,2,5,7,8}",6.920,11.167,23.167,0.343201
"{0,2,3,4,5,9}",6.925,10.833,21.333,0.330397
"{0,1,2,4,5,11}",6.925,11.333,22.333,0.313730
"{0,1,2,3,6,9}",6.947,11.333,24.333,0.318757
"{0,1,5,6,10,11}",6.947,11.667,23.667,0.335423
"{0,2,3,4,5,7}",6.951,10.833,20.333,0.315370
"{0,7,8,9,10,11}",6.951,12.333,22.333,0.275926
"{0,1,2,4,6,7}",6.962,11.333,23.833,0.320238
"{0,4,5,6,7,10}",6.962,11.833,24.667,0.324683
"{0,1,2,3,5,9}",6.964,11.167,22.667,0.317063
"{0,1,2,3,5,8}",6.973,11.167,22.167,0.314841
"{0,1,2,7,10,11}",6.979,11.833,23.333,0.320397
"{0,4,5,6,7,8}",6.988,12.167,23.667,0.294286
"{0,1,2,3,5,7}",6.989,11.000,21.667,0.314101
"{0,1,2,6,10,11}",6.991,12.000,23.500,0.313730
"{0,1,2,7,9,11}",6.995,11.167,22.333,0.344656
"{0,3,4,5,6,11}",7.003,12.000,25.000,0.310979
"{0,1,2,7,8,11}",7.004,11.833,24.833,0.335423
"{0,1,2,7,9,10}",7.007,11.167,22.167,0.341508
"{0,1,2,5,10,11}",7.007,12.000,23.500,0.309286
"{0,1,2,6,8,11}",7.016,11.333,24.167,0.330794
"{0,3,4,5,6,10}",7.016,11.667,24.500,0.324683
"{0,1,2,7,8,10}",7.017,11.167,23.167,0.331349
"{0,1,2,6,7,11}",7.032,11.500,23.500,0.342090
"{0,5,6,7,10,11}",7.032,11.833,24.333,0.333201
"{0,1,8,9,10,11}",7.033,12.333,22.333,0.282593
"{0,1,2,6,7,10}",7.044,11.500,23.833,0.338757
"{0,2,3,4,8,9}",7.048,11.500,23.833,0.334312
"{0,3,4,5,6,7}",7.057,12.000,23.500,0.296508
"{0,1,2,5,6,11}",7.060,11.667,24.167,0.319868
"{0,2,3,4,5,11}",7.064,11.500,23.000,0.302619
"{0,1,2,3,7,11}",7.074,12.000,23.500,0.311508
"{0,2,4,5,6,7}",7.075,11.500,22.667,0.314101
"{0,4,5,6,10,11}",7.075,12.167,25.833,0.331931
"{0,1,2,3,6,11}",7.085,12.000,23.500,0.295952
"{0,1,4,5,6,7}",7.085,12.000,25.000,0.313757
"{0,1,2,3,7,10}",7.086,10.833,21.333,0.339286
"{0,1,3,4,5,10}",7.086,11.167,22.167,0.334841
"{0,1,2,3,6,10}",7.098,11.333,22.333,0.321508
"{0,1,2,3,7,9}",7.102,11.500,24.333,0.333571
"{0,2,3,4,5,8}",7.102,11.500,22.500,0.297063
"{0,1,2,3,5,11}",7.102,12.167,23.833,0.277434
"{0,1,6,7,8,11}",7.111,11.833,24.333,0.337646
"{0,1,2,3,7,8}",7.112,11.667,23.667,0.329312
"{0,1,2,3,5,10}",7.115,10.833,20.333,0.322037
"{0,3,4,5,10,11}",7.117,12.000,24.500,0.337646
"{0,1,2,9,10,11}",7.120,12.333,22.333,0.291481
"{0,1,2,3,6,8}",7.123,11.833,24.667,0.313571
"{0,1,2,8,10,11}",7.130,12.167,23.833,0.295212
"{0,1,3,4,5,6}",7.139,11.667,23.167,0.285397
"{0,1,2,3,6,7}",7.139,11.833,24.333,0.313757
"{0,1,2,8,9,11}",7.146,11.500,23.000,0.320397
"{0,1,5,6,7,11}",7.154,12.000,25.667,0.331931
"{0,1,2,3,5,6}",7.167,11.667,22.667,0.285397
"{0,1,2,3,4,7}",7.171,12.000,23.500,0.296508
"{0,1,2,3,4,6}",7.183,12.167,23.833,0.266878
"{0,1,4,5,6,11}",7.198,12.000,24.500,0.333201
"{0,1,2,7,8,9}",7.199,12.000,24.500,0.342646
"{0,1,2,3,9,11}",7.215,12.167,23.833,0.290767
"{0,1,2,3,8,11}",7.225,12.000,23.500,0.300397
"{0,1,2,3,9,10}",7.228,11.667,23.167,0.316508
"{0,1,2,6,7,8}",7.236,12.167,25.833,0.328042
"{0,1,2,3,8,10}",7.238,11.500,22.667,0.325212
"{0,2,3,4,5,10}",7.243,11.667,22.833,0.311878
"{0,1,2,3,8,9}",7.253,12.167,25.167,0.320423
"{0,1,2,5,6,7}",7.280,12.000,24.500,0.324868
"{0,2,3,4,5,6}",7.296,12.333,24.000,0.266878
"{0,1,2,3,4,9}",7.312,12.000,23.500,0.298730
"{0,1,2,3,4,8}",7.322,12.167,23.667,0.294286
"{0,1,2,3,10,11}",7.366,12.500,22.500,0.282593
"{0,1,2,3,4,11}",7.451,12.333,22.333,0.275926
"{0,1,2,3,4,10}",7.464,12.333,24.000,0.284656
"{0,1,2,3,4,5}",7.533,12.500,22.500,0.254259
"{0,2,4,5,7,9,11}",5.701,9.286,19.000,0.382559
"{0,2,4,6,7,9,11}",5.830,9.286,19.000,0.382559
"{0,2,3,5,7,9,10}",5.863,9.571,19.286,0.371844
"{0,3,4,6,8,10,11}",5.868,10.714,22.429,0.340514
"{0,2,4,7,8,10,11}",5.874,11.000,23.143,0.338927
"{0,2,5,6,8,9,10}",5.895,11.143,23.286,0.328212
"{0,2,4,6,7,8,11}",5.919,10.714,22.429,0.348450
"{0,1,4,5,7,9,11}",5.933,10.571,22.286,0.351625
"{0,4,5,7,8,9,11}",5.933,10.571,21.286,0.344728
"{0,1,3,5,7,8,9}",5.975,10.857,22.571,0.340911
"{0,1,5,6,8,9,10}",5.987,10.714,21.429,0.338776
"{0,2,4,5,7,9,10}",5.998,9.857,19.571,0.363908
"{0,3,4,7,8,10,11}",6.001,10.714,21.143,0.353193
"{0,1,3,5,7,8,10}",6.023,9.571,19.286,0.371844
"{0,2,4,6,8,10,11}",6.027,11.286,25.000,0.324660
"{0,1,3,5,6,8,10}",6.033,9.714,19.429,0.363908
"{0,3,4,6,7,8,11}",6.046,10.714,21.143,0.342082
"{0,2,4,6,8,9,10}",6.051,11.429,25.143,0.321882
"{0,3,4,6,7,8,10}",6.057,11.143,23.286,0.334562
"{0,1,3,5,8,9,11}",6.071,11.143,23.286,0.326228
"{0,1,3,5,7,9,11}",6.085,11.286,25.000,0.324660
"{0,2,4,5,6,9,10}",6.089,11.000,22.714,0.340911
"{0,2,3,4,7,8,11}",6.098,10.714,21.143,0.348432
"{0,2,3,4,6,8,11}",6.108,11.000,23.143,0.327816
"{0,1,4,5,7,8,9}",6.109,10.857,21.286,0.345654
"{0,2,3,7,8,10,11}",6.109,10.857,21.571,0.338379
"{0,2,5,7,8,9,11}",6.125,10.857,23.571,0.348450
"{0,1,2,4,6,9,10}",6.135,11.143,23.286,0.334562
"{0,2,3,5,7,8,10}",6.158,10.000,19.714,0.352797
"{0,1,3,4,5,7,9}",6.168,11.143,23.286,0.329800
"{0,1,3,6,8,9,10}",6.176,11.000,23.714,0.344085
"{0,2,4,5,7,8,11}",6.184,10.714,23.286,0.350567
"{0,2,3,4,6,7,11}",6.205,10.571,21.286,0.344728
"{0,1,4,5,8,9,11}",6.206,10.857,21.286,0.351606
"{0,2,4,6,7,8,10}",6.216,11.571,25.286,0.315533
"{0,3,5,7,8,9,11}",6.228,11.143,23.429,0.327816
"{0,2,4,5,6,8,10}",6.240,11.571,25.286,0.307596
"{0,3,4,6,7,10,11}",6.251,11.000,23.143,0.353874
"{0,4,6,7,8,10,11}",6.251,11.571,23.714,0.327419
"{0,2,3,4,7,8,10}",6.252,11.000,22.714,0.337736
"{0,1,3,4,5,7,8}",6.260,10.714,21.429,0.335601
"{0,2,3,6,8,10,11}",6.262,11.143,23.429,0.326228
"{0,2,3,4,6,8,10}",6.262,11.429,25.143,0.315533
"{0,1,2,5,6,9,10}",6.265,11.000,21.429,0.347241
"{0,2,4,6,7,10,11}",6.267,10.571,22.429,0.351625
"{0,1,2,5,6,8,10}",6.273,11.000,22.714,0.336149
"{0,3,5,6,8,9,10}",6.273,11.143,23.857,0.334562
"{0,3,4,5,7,9,11}",6.278,10.571,22.429,0.348450
"{0,2,5,6,8,9,11}",6.278,11.286,25.429,0.336961
"{0,2,4,7,8,9,11}",6.281,10.714,22.000,0.368405
"{0,3,5,6,7,9,10}",6.286,11.000,23.714,0.347260
"{0,1,4,6,8,9,10}",6.286,11.143,23.429,0.334562
"{0,1,2,4,6,8,10}",6.286,11.429,25.143,0.321882
"{0,3,4,6,7,9,11}",6.289,10.429,23.000,0.350567
"{0,2,4,5,8,9,10}",6.292,11.000,22.857,0.336149
"{0,2,3,6,7,8,11}",6.297,11.286,23.429,0.336413
"{0,1,3,4,5,8,9}",6.298,11.000,21.429,0.337717
"{0,3,4,6,7,9,10}",6.300,11.286,25.429,0.343707
"{0,2,4,5,8,9,11}",6.305,10.714,23.286,0.356916
"{0,1,3,4,8,9,11}",6.311,10.714,21.429,0.338379
"{0,1,4,5,7,8,11}",6.311,11.000,23.143,0.353874
"{0,1,5,7,8,9,11}",6.311,11.571,23.714,0.329006
"{0,2,3,6,7,9,11}",6.313,10.714,23.286,0.356916
"{0,2,3,5,8,9,11}",6.314,11.429,25.571,0.332200
"{0,1,3,5,7,8,11}",6.320,10.571,22.429,0.340514
"{0,2,3,6,7,9,10}",6.324,10.714,23.286,0.358900
"{0,1,3,4,7,9,11}",6.324,10.857,23.143,0.338927
"{0,2,3,5,7,9,11}",6.327,10.571,23.000,0.356255
"{0,1,3,6,7,9,10}",6.332,11.429,25.571,0.345295
"{0,1,3,5,8,9,10}",6.333,10.857,22.143,0.356104
"{0,2,3,5,7,8,11}",6.335,10.857,23.429,0.337868
"{0,3,6,7,8,10,11}",6.343,11.143,21.857,0.336791
"{0,2,3,5,6,9,10}",6.348,10.857,23.429,0.350964
"{0,2,3,4,8,10,11}",6.349,11.571,23.714,0.324244
"{0,1,3,5,6,9,10}",6.356,10.857,23.429,0.349376
"{0,1,3,4,7,8,9}",6.357,11.143,23.286,0.341572
"{0,2,6,7,8,10,11}",6.359,11.571,23.857,0.321070
"{0,1,3,4,6,9,10}",6.370,11.429,25.571,0.337358
"{0,1,2,6,8,9,10}",6.370,11.714,23.857,0.327816
"{0,1,2,4,5,9,10}",6.376,10.857,21.571,0.338776
"{0,2,5,8,9,10,11}",6.376,11.714,24.429,0.321070
"{0,1,3,5,6,8,9}",6.378,11.000,23.571,0.335091
"{0,4,5,6,8,9,10}",6.383,11.571,23.857,0.315117
"{0,2,5,7,9,10,11}",6.389,10.857,21.857,0.355178
"{0,3,4,6,9,10,11}",6.396,11.571,25.714,0.339739
"{0,2,5,7,8,10,11}",6.397,11.286,24.000,0.332577
"{0,2,4,7,9,10,11}",6.402,10.429,21.000,0.363114
"{0,1,4,7,8,9,11}",6.408,10.857,21.571,0.351077
"{0,3,4,5,8,9,11}",6.408,11.286,23.429,0.336413
"{0,1,3,4,5,9,11}",6.408,11.571,23.714,0.321070
"{0,1,3,7,8,9,11}",6.416,11.429,23.714,0.324244
"{0,3,4,6,8,9,11}",6.418,10.857,23.429,0.337868
"{0,3,4,6,8,9,10}",6.429,11.429,25.429,0.328893
"{0,1,3,6,9,10,11}",6.429,11.714,24.429,0.324244
"{0,2,4,6,8,9,11}",6.434,10.571,23.000,0.356255
"{0,2,5,6,7,9,11}",6.434,10.857,23.143,0.361149
"{0,2,3,5,9,10,11}",6.435,11.571,24.000,0.336943
"{0,2,3,4,6,7,8}",6.440,11.714,23.857,0.313530
"{0,2,3,5,8,10,11}",6.443,11.286,24.000,0.327816
"{0,2,5,6,7,9,10}",6.445,11.000,22.286,0.354516
"{0,2,3,4,7,10,11}",6.446,10.857,21.571,0.351077
"{0,2,4,5,7,10,11}",6.448,11.000,23.286,0.353212
"{0,2,3,6,7,8,10}",6.451,11.000,22.857,0.337736
"{0,3,4,5,7,8,9}",6.454,11.143,21.857,0.334014
"{0,2,3,4,6,10,11}",6.456,11.286,23.571,0.329006
"{0,2,3,5,7,10,11}",6.457,11.000,22.286,0.352532
"{0,2,4,6,7,9,10}",6.458,10.714,23.143,0.350302
"{0,3,4,7,8,9,11}",6.467,10.571,21.143,0.348432
"{0,1,4,5,6,9,10}",6.467,11.429,23.571,0.339985
"{0,1,2,5,8,9,10}",6.468,11.000,21.714,0.341950
"{0,2,3,5,8,9,10}",6.468,11.143,23.429,0.345673
"{0,1,4,5,6,8,10}",6.475,10.857,22.714,0.340911
"{0,2,4,5,6,8,9}",6.480,11.286,23.571,0.329800
"{0,2,3,5,6,9,11}",6.480,11.571,25.714,0.336961
"{0,1,4,5,7,9,10}",6.481,10.857,23.429,0.349376
"{0,1,2,4,8,9,10}",6.481,11.429,23.714,0.327816
"{0,2,3,5,6,8,11}",6.488,11.571,25.714,0.317914
"{0,3,6,8,9,10,11}",6.488,11.857,24.571,0.314720
"{0,1,3,5,7,9,10}",6.489,10.714,23.143,0.356652
"{0,1,4,5,7,8,10}",6.489,10.714,23.286,0.350964
"{0,2,3,4,6,9,11}",6.493,10.857,23.571,0.348450
"{0,2,3,6,7,10,11}",6.502,10.714,21.286,0.351606
"{0,1,3,4,6,9,11}",6.502,11.000,23.714,0.332577
"{0,2,3,4,6,7,10}",6.502,11.143,23.429,0.334562
"{0,3,6,7,9,10,11}",6.502,11.429,24.000,0.335884
"{0,4,5,7,9,10,11}",6.507,11.143,23.000,0.348054
"{0,1,3,4,7,8,10}",6.511,10.857,23.429,0.358900
"{0,3,4,5,7,8,11}",6.513,10.714,21.286,0.342082
"{0,1,2,5,6,8,9}",6.513,11.286,23.429,0.341572
"{0,1,3,4,5,7,11}",6.513,11.286,23.571,0.327419
"{0,2,6,7,9,10,11}",6.518,11.000,22.286,0.345786
"{0,1,3,4,6,8,10}",6.521,10.714,23.143,0.350302
"{0,1,2,4,6,8,9}",6.526,10.714,22.571,0.340911
"{0,2,3,5,6,7,9}",6.526,11.143,23.857,0.344085
"{0,1,4,5,8,9,10}",6.527,10.714,21.286,0.347241
"{0,1,2,4,5,8,10}",6.527,11.143,23.429,0.328212
"{0,1,3,4,6,8,9}",6.534,10.857,23.429,0.335091
"{0,3,6,7,8,9,10}",6.534,11.857,24.571,0.324641
"{0,2,3,4,6,7,9}",6.539,11.000,23.714,0.344085
"{0,2,6,7,8,9,11}",6.539,11.571,24.000,0.338530
"{0,2,5,6,9,10,11}",6.542,11.571,24.143,0.342234
"{0,1,3,4,6,7,9}",6.548,11.429,25.571,0.327834
"{0,3,5,6,8,9,11}",6.548,11.857,26.000,0.317914
"{0,3,5,7,8,9,10}",6.549,11.143,22.143,0.346051
"{0,2,5,6,8,10,11}",6.550,11.571,25.571,0.318972
"{0,2,3,7,9,10,11}",6.553,11.143,22.000,0.348961
"{0,1,4,7,9,10,11}",6.553,11.571,24.286,0.336943
"{0,2,4,6,9,10,11}",6.555,11.143,23.571,0.349509
"{0,1,3,4,7,8,11}",6.559,10.571,21.143,0.353193
"{0,2,5,7,8,9,10}",6.564,11.000,21.571,0.341289
"{0,2,3,6,9,10,11}",6.564,11.429,24.000,0.337472
"{0,2,4,5,9,10,11}",6.569,11.429,23.286,0.349641
"{0,2,3,7,8,9,11}",6.575,11.571,24.143,0.342234
"{0,1,3,6,8,10,11}",6.580,11.000,22.000,0.347241
"{0,2,3,6,8,9,11}",6.585,11.714,25.857,0.332200
"{0,2,5,6,7,8,11}",6.585,11.857,26.000,0.328628
"{0,1,3,6,8,9,11}",6.594,11.286,24.000,0.327816
"{0,1,3,7,8,9,10}",6.595,11.714,24.143,0.342101
"{0,3,4,5,7,9,10}",6.599,11.143,23.429,0.355197
"{0,1,4,5,7,10,11}",6.599,11.571,25.714,0.347676
"{0,1,3,6,7,9,11}",6.607,11.429,25.429,0.326909
"{0,3,4,5,7,8,10}",6.608,11.143,22.429,0.348167
"{0,1,4,6,7,9,10}",6.610,11.714,25.857,0.337358
"{0,1,2,4,5,6,10}",6.610,11.857,24.000,0.315117
"{0,2,4,5,6,9,11}",6.614,10.857,22.714,0.361149
"{0,2,4,5,6,8,11}",6.623,11.429,25.429,0.328496
"{0,2,4,5,7,8,10}",6.624,11.143,23.571,0.331255
"{0,1,3,6,7,8,10}",6.626,11.143,23.429,0.358371
"{0,1,3,4,6,10,11}",6.631,11.571,24.000,0.338530
"{0,1,3,4,8,9,10}",6.632,11.571,24.143,0.342630
"{0,4,6,7,9,10,11}",6.636,11.286,23.714,0.340117
"{0,1,2,4,7,10,11}",6.637,11.571,24.286,0.336943
"{0,2,7,8,9,10,11}",6.637,12.143,23.571,0.314701
"{0,1,3,6,7,8,9}",6.640,11.857,26.000,0.329025
"{0,2,3,5,6,8,10}",6.642,11.000,23.429,0.331255
"{0,1,3,4,5,8,11}",6.643,11.000,21.714,0.336791
"{0,2,3,5,7,8,9}",6.645,11.143,23.000,0.347260
"{0,1,3,4,7,9,10}",6.645,11.714,25.857,0.345295
"{0,3,5,8,9,10,11}",6.645,12.143,25.000,0.322657
"{0,2,3,4,6,9,10}",6.647,11.429,25.429,0.336829
"{0,2,6,8,9,10,11}",6.647,12.143,25.000,0.311017
"{0,1,2,4,7,9,11}",6.650,10.714,21.714,0.363114
"{0,1,3,4,6,8,11}",6.653,11.000,22.286,0.346183
"{0,2,3,5,6,8,9}",6.656,11.857,26.000,0.327834
"{0,4,6,7,8,9,11}",6.658,11.143,22.000,0.336262
"{0,3,5,7,9,10,11}",6.659,11.571,24.000,0.343159
"{0,4,5,7,8,10,11}",6.659,11.714,24.286,0.337472
"{0,3,4,8,9,10,11}",6.659,12.000,24.571,0.329138
"{0,1,2,4,7,9,10}",6.661,11.143,23.857,0.344085
"{0,3,6,7,8,9,11}",6.666,11.571,24.143,0.320011
"{0,3,5,7,8,10,11}",6.667,11.143,22.000,0.346183
"{0,3,5,6,9,10,11}",6.669,12.143,26.286,0.331803
"{0,3,4,7,9,10,11}",6.672,11.286,23.429,0.351757
"{0,2,4,8,9,10,11}",6.675,12.143,25.000,0.326890
"{0,3,5,6,8,10,11}",6.677,11.286,23.143,0.334165
"{0,1,3,5,6,7,9}",6.677,11.571,25.571,0.325718
"{0,1,3,4,6,7,10}",6.677,11.714,25.857,0.343707
"{0,4,5,6,8,9,11}",6.682,11.714,24.286,0.332710
"{0,4,5,7,8,9,10}",6.683,11.429,22.714,0.328723
"{0,2,3,8,9,10,11}",6.683,12.286,25.000,0.314324
"{0,1,3,4,5,7,10}",6.691,11.143,23.857,0.347260
"{0,1,3,8,9,10,11}",6.691,12.143,23.571,0.313114
"{0,4,5,6,7,9,11}",6.695,11.286,23.143,0.344879
"{0,1,2,4,5,7,11}",6.696,11.429,23.857,0.340117
"{0,3,5,6,7,9,11}",6.704,11.714,25.714,0.328496
"{0,1,4,7,8,10,11}",6.705,11.429,24.000,0.346995
"{0,3,4,7,8,9,10}",6.705,11.714,24.286,0.341043
"{0,1,3,7,9,10,11}",6.705,12.143,25.000,0.322128
"{0,1,2,4,5,6,9}",6.706,11.143,21.857,0.334014
"{0,4,5,6,7,9,10}",6.706,11.714,24.143,0.329403
"{0,1,4,6,9,10,11}",6.706,12.000,24.857,0.336943
"{0,1,2,4,5,7,10}",6.707,11.143,23.857,0.334562
"{0,1,3,7,8,10,11}",6.713,11.143,22.429,0.345786
"{0,1,4,5,6,8,9}",6.715,11.000,21.571,0.337717
"{0,1,2,4,5,6,8}",6.715,11.571,23.857,0.313530
"{0,1,5,7,8,9,10}",6.716,11.286,22.143,0.338246
"{0,1,2,4,5,7,9}",6.721,11.000,22.286,0.351342
"{0,2,4,7,8,9,10}",6.721,11.571,24.000,0.335620
"{0,2,4,5,8,10,11}",6.721,11.857,25.857,0.326909
"{0,1,4,5,9,10,11}",6.721,12.000,24.571,0.335488
"{0,3,5,6,7,8,10}",6.723,11.000,21.571,0.339701
"{0,1,4,7,8,9,10}",6.729,11.571,24.143,0.334694
"{0,2,3,7,8,9,10}",6.729,11.571,23.429,0.343689
"{0,1,3,5,9,10,11}",6.729,12.143,25.000,0.322128
"{0,1,3,5,8,10,11}",6.737,10.714,21.286,0.347241
"{0,1,3,6,7,10,11}",6.737,11.714,24.286,0.346995
"{0,3,5,6,7,8,9}",6.737,12.000,24.714,0.313530
"{0,1,5,6,7,9,10}",6.739,11.714,24.286,0.339456
"{0,2,3,6,8,9,10}",6.739,11.857,25.857,0.332067
"{0,1,4,6,7,9,11}",6.741,10.857,22.714,0.353212
"{0,1,3,4,9,10,11}",6.742,12.143,24.857,0.322260
"{0,3,4,6,7,8,9}",6.750,11.571,24.143,0.321995
"{0,1,3,4,8,10,11}",6.751,11.143,22.000,0.345786
"{0,1,3,5,7,10,11}",6.751,11.286,23.714,0.346334
"{0,2,3,5,6,10,11}",6.752,11.714,24.286,0.331122
"{0,3,4,5,6,9,10}",6.752,12.000,26.143,0.333787
"{0,5,6,8,9,10,11}",6.752,12.286,25.000,0.301625
"{0,4,7,8,9,10,11}",6.756,12.000,23.286,0.321580
"{0,1,2,4,9,10,11}",6.758,12.000,23.429,0.324225
"{0,1,3,4,7,10,11}",6.764,11.429,24.000,0.346995
"{0,3,7,8,9,10,11}",6.764,12.143,23.429,0.316818
"{0,4,6,8,9,10,11}",6.766,12.143,25.000,0.317366
"{0,1,2,4,5,8,9}",6.767,10.857,21.429,0.345654
"{0,2,3,4,7,9,11}",6.769,10.714,21.571,0.368405
"{0,1,3,5,6,9,11}",6.774,11.857,25.857,0.318972
"{0,2,4,5,6,7,11}",6.779,11.286,23.143,0.344879
"{0,2,3,4,7,9,10}",6.780,11.000,22.857,0.358371
"{0,2,4,5,7,8,9}",6.780,11.143,22.000,0.351342
"{0,4,5,8,9,10,11}",6.780,12.143,24.714,0.325964
"{0,1,3,5,6,8,11}",6.783,11.286,23.571,0.334165
"{0,2,3,5,6,7,11}",6.787,11.714,24.286,0.332710
"{0,3,4,5,6,7,9}",6.787,11.857,24.571,0.318292
"{0,5,6,7,8,9,11}",6.787,12.286,25.000,0.306387
"{0,5,6,7,8,9,10}",6.798,12.286,23.714,0.302400
"{0,1,2,4,7,8,11}",6.802,11.571,24.143,0.351757
"{0,1,2,4,6,9,11}",6.803,10.571,21.143,0.355178
"{0,2,4,5,6,7,9}",6.803,11.143,22.143,0.347638
"{0,1,3,5,6,7,10}",6.807,11.143,23.000,0.355197
"{0,1,3,4,6,7,11}",6.809,11.571,24.143,0.337472
"{0,1,6,7,9,10,11}",6.812,12.143,24.857,0.319085
"{0,4,6,7,8,9,10}",6.812,12.286,25.143,0.306652
"{0,1,2,4,7,8,10}",6.813,11.571,25.571,0.332067
"{0,1,5,8,9,10,11}",6.813,12.000,23.286,0.318405
"{0,2,3,4,5,7,11}",6.815,11.143,22.429,0.336262
"{0,1,2,4,5,9,11}",6.817,11.143,22.000,0.345786
"{0,1,4,8,9,10,11}",6.826,12.000,23.286,0.326342
"{0,1,5,7,9,10,11}",6.826,12.000,24.857,0.326890
"{0,1,3,5,6,7,8}",6.828,11.429,23.286,0.330990
"{0,1,5,7,8,10,11}",6.834,11.429,23.857,0.338530
"{0,1,5,6,9,10,11}",6.836,12.143,24.714,0.327551
"{0,2,6,7,8,9,10}",6.836,12.429,25.286,0.317763
"{0,2,3,4,5,7,9}",6.839,10.857,21.429,0.347638
"{0,1,3,4,6,7,8}",6.842,11.714,24.286,0.331519
"{0,1,5,6,8,10,11}",6.844,11.429,23.286,0.338530
"{0,1,6,7,8,9,10}",6.844,12.429,25.143,0.316308
"{0,4,5,6,7,8,11}",6.847,12.143,24.714,0.324376
"{0,1,2,4,6,7,9}",6.849,11.143,23.429,0.347260
"{0,2,5,6,7,10,11}",6.849,11.714,24.286,0.343821
"{0,3,5,6,7,8,11}",6.855,11.714,23.857,0.321599
"{0,1,4,6,8,10,11}",6.858,11.571,24.000,0.346334
"{0,1,5,6,8,9,11}",6.858,11.857,24.429,0.331122
"{0,3,4,5,7,10,11}",6.861,11.714,24.286,0.353345
"{0,1,4,6,8,9,11}",6.871,11.000,21.857,0.352532
"{0,1,4,6,7,10,11}",6.871,12.000,26.143,0.347676
"{0,1,4,5,8,10,11}",6.872,11.429,23.571,0.346995
"{0,1,2,4,5,7,8}",6.872,11.714,24.286,0.331519
"{0,3,4,5,8,9,10}",6.872,11.857,24.429,0.341043
"{0,1,2,6,9,10,11}",6.874,12.000,23.286,0.324754
"{0,2,5,6,7,8,10}",6.882,11.714,24.143,0.321334
"{0,3,4,5,6,9,11}",6.884,12.143,26.286,0.328628
"{0,5,7,8,9,10,11}",6.885,12.286,23.714,0.305178
"{0,1,2,5,9,10,11}",6.888,12.000,23.286,0.324754
"{0,1,5,6,7,8,10}",6.890,11.571,23.429,0.340514
"{0,3,4,5,6,8,11}",6.893,11.857,24.429,0.321599
"{0,2,5,6,7,8,9}",6.895,12.286,25.143,0.329403
"{0,1,2,5,8,10,11}",6.896,11.857,24.571,0.324244
"{0,2,3,4,8,9,11}",6.898,11.714,24.286,0.342234
"{0,1,3,6,7,8,11}",6.901,11.714,24.286,0.340646
"{0,3,4,5,6,8,10}",6.904,11.571,24.000,0.326096
"{0,1,3,5,6,10,11}",6.904,11.714,23.571,0.338530
"{0,1,4,6,7,8,10}",6.904,11.857,25.857,0.336829
